Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7
0.012538629,0.012510321,0.01250304,0.012515368,0.79347605,0.012506024,0.13142933,0.012521322
0.2862053,0.0065885857,0.0065865926,0.0065917126,0.6742495,0.006591515,0.0065968903,0.006589977
0.008933653,0.008932985,0.008938497,0.008937104,0.93745357,0.008938102,0.008929868,0.008936197
0.006955627,0.006954667,0.19923347,0.24861825,0.0069615063,0.006947684,0.31227043,0.21205838
0.122773506,0.0018155527,0.0018134238,0.0018153075,0.68776745,0.0018145338,0.0018167726,0.18038349
0.8904056,0.015653891,0.015694695,0.015661046,0.015640674,0.01566699,0.01563178,0.01564537
0.06258795,0.06258792,0.06258801,0.062587894,0.062587894,0.56188434,0.06258809,0.06258791
0.025035229,0.824723,0.025017997,0.025066303,0.025056595,0.025047025,0.025018582,0.025035307
0.01786381,0.017877484,0.017875565,0.017920448,0.58618283,0.017864631,0.30655056,0.017864639
0.012501712,0.01251402,0.012504642,0.65981954,0.012523262,0.012503422,0.012501548,0.26513186
0.1734981,0.64685667,0.0039132857,0.098352745,0.06563797,0.00391254,0.0039141243,0.003914538
0.1239048,0.0027821856,0.038299635,0.57919604,0.24747172,0.0027787136,0.0027843488,0.0027825458
0.9326171,0.009624327,0.009620431,0.009637149,0.009624663,0.009616536,0.009637067,0.009622686
0.020843195,0.02084534,0.02086981,0.02083772,0.02083628,0.020876229,0.22085488,0.6540366
0.78088796,0.03128372,0.03125279,0.031324603,0.03126219,0.031419042,0.031303022,0.03126667
0.15839373,0.3412824,0.007820952,0.46120057,0.00783392,0.007817235,0.007821561,0.007829611
0.009618512,0.00962536,0.009623684,0.009619991,0.31560814,0.5498275,0.08643835,0.009638428
0.0036864174,0.08178799,0.003681006,0.49345046,0.33535907,0.07467141,0.0036787228,0.003684939
0.17410165,0.0040467237,0.004037796,0.25251153,0.5531739,0.0040398566,0.0040344233,0.0040540714
0.020877525,0.02084888,0.020837674,0.020848624,0.67601687,0.020841487,0.02085282,0.19887617
0.1499973,0.006589849,0.11680619,0.34731084,0.121570446,0.0065801255,0.2445551,0.00659016
0.64182377,0.007815688,0.007813658,0.007829622,0.31127515,0.007813432,0.007814537,0.007814174
0.67954546,0.21317634,0.017864332,0.017887296,0.017924285,0.017861381,0.017864231,0.01787667
0.4785241,0.15877478,0.001455375,0.0014569972,0.28774387,0.0014542533,0.069134764,0.0014558731
0.06272265,0.06272258,0.06272284,0.06272253,0.062722534,0.06272278,0.06272302,0.56094104
0.18913838,0.020880431,0.020836508,0.020854788,0.020875366,0.19028005,0.5162952,0.0208393
0.5053419,0.006958042,0.0069554877,0.0069498373,0.0069464077,0.0069597424,0.2279178,0.2319708
0.0034762688,0.0034812298,0.0034788863,0.5326486,0.0034800556,0.040675066,0.0034742313,0.40928563
0.38016352,0.009639072,0.009639308,0.009628808,0.56200373,0.0096321,0.009648189,0.009645228
0.003209745,0.18923284,0.0032094987,0.3424527,0.29487774,0.0032107728,0.0032097679,0.160597
0.0073614498,0.12131714,0.083126694,0.00736755,0.2512089,0.007359064,0.13057722,0.391682
0.02086306,0.020844907,0.020837199,0.3870831,0.020879576,0.020838613,0.48781633,0.020837206
0.0018971015,0.0018973522,0.0018958622,0.5858247,0.4027947,0.0018966146,0.0018971702,0.0018964721
0.025014756,0.025011884,0.57469904,0.025026629,0.025031999,0.025019774,0.025011906,0.27518407
0.00500938,0.0050091143,0.0050031436,0.3455854,0.6243686,0.0050073937,0.0050053718,0.0050115483
0.5895539,0.0031278485,0.0031271619,0.17007217,0.22473216,0.0031283333,0.0031312464,0.0031272161
0.02085336,0.020844815,0.020835234,0.02084436,0.020846948,0.24543767,0.62947154,0.02086613
0.00895059,0.008951153,0.00894536,0.81525534,0.008944234,0.13107593,0.008930127,0.0089473035
0.21929024,0.008959394,0.008968539,0.49609554,0.1376172,0.008953674,0.11115825,0.008957164
0.008954275,0.008932408,0.0089428555,0.50173277,0.21531676,0.008940268,0.23824571,0.00893497
0.005692078,0.005686799,0.0056852093,0.54459894,0.06662748,0.005693673,0.3603302,0.0056856717
0.0034775748,0.2328538,0.13742802,0.39595148,0.18692292,0.03641118,0.0034791166,0.0034758593
0.5862561,0.0020520836,0.0020512096,0.047992475,0.24897455,0.0020517851,0.002053296,0.10856847
0.3737757,0.006958905,0.006952579,0.006952501,0.17753622,0.006952313,0.0069569866,0.41391483
0.53207546,0.004320137,0.0043122657,0.004316564,0.4420262,0.004318061,0.0043172147,0.004314077
0.001422145,0.0014230638,0.0014210185,0.21695334,0.7745101,0.001423135,0.0014216591,0.0014255864
0.007827253,0.22361992,0.007820064,0.0078238305,0.21559857,0.52167255,0.007817359,0.007820473
0.017859152,0.01785997,0.017860053,0.3258871,0.017897006,0.017863682,0.5669153,0.017857686
0.008962094,0.27290046,0.67343146,0.008941215,0.008942621,0.008933992,0.008945346,0.0089427885
0.0022357074,0.10720654,0.002238488,0.06803781,0.8135748,0.002235164,0.0022346312,0.0022368594
